dataset,size,algorithm,avg_time_us,avg_char_comparisons
reversed,800,merge_sort,267.29,6769
reversed,800,ternary_string_quick_sort,12.73,7253
reversed,800,lcp_string_merge_sort,1004.59,3195
reversed,800,msd_radix_sort,131.27,1935
reversed,800,msd_radix_sort_with_quick_switch,58.88,4858
reversed,900,quick_sort,86.33,114951
reversed,900,merge_sort,301.87,7564
reversed,900,ternary_string_quick_sort,14.39,8337
reversed,900,lcp_string_merge_sort,1132.38,3517
reversed,900,msd_radix_sort,149.44,2180
reversed,900,msd_radix_sort_with_quick_switch,67.21,5471
reversed,1000,quick_sort,88.93,121462
reversed,1000,merge_sort,352.48,8165
reversed,1000,ternary_string_quick_sort,17.27,9339
reversed,1000,lcp_string_merge_sort,1273.25,3810
reversed,1000,msd_radix_sort,165.71,2423
reversed,1000,msd_radix_sort_with_quick_switch,75.22,6065
reversed,1100,quick_sort,101.06,137506
reversed,1100,merge_sort,372.57,9328
reversed,1100,ternary_string_quick_sort,18.60,10511
reversed,1100,lcp_string_merge_sort,1434.83,4274
reversed,1100,msd_radix_sort,187.94,2665
reversed,1100,msd_radix_sort_with_quick_switch,92.00,6685
reversed,1200,quick_sort,116.80,159776
reversed,1200,merge_sort,427.68,10527
reversed,1200,ternary_string_quick_sort,20.18,11458
reversed,1200,lcp_string_merge_sort,1599.47,4804
reversed,1200,msd_radix_sort,214.02,2908
reversed,1200,msd_radix_sort_with_quick_switch,94.31,7328
reversed,1300,quick_sort,133.57,178182
reversed,1300,merge_sort,473.76,11474
reversed,1300,ternary_string_quick_sort,22.76,12602
reversed,1300,lcp_string_merge_sort,1771.84,5192
reversed,1300,msd_radix_sort,234.29,3160
reversed,1300,msd_radix_sort_with_quick_switch,107.24,7908
reversed,1400,quick_sort,152.42,200335
reversed,1400,merge_sort,515.15,12458
reversed,1400,ternary_string_quick_sort,24.28,13639
reversed,1400,lcp_string_merge_sort,1876.87,5565
reversed,1400,msd_radix_sort,241.42,3401
reversed,1400,msd_radix_sort_with_quick_switch,115.53,8534
reversed,1500,quick_sort,166.95,221785
reversed,1500,merge_sort,577.02,13399
reversed,1500,ternary_string_quick_sort,25.88,14938
reversed,1500,lcp_string_merge_sort,2044.17,6015
reversed,1500,msd_radix_sort,258.74,3645
reversed,1500,msd_radix_sort_with_quick_switch,119.48,9117
reversed,1600,quick_sort,175.20,234725
reversed,1600,merge_sort,629.89,14285
reversed,1600,ternary_string_quick_sort,28.95,16112
reversed,1600,lcp_string_merge_sort,2204.83,6356
reversed,1600,msd_radix_sort,276.64,3891
reversed,1600,msd_radix_sort_with_quick_switch,127.88,9757
reversed,1700,quick_sort,180.00,237751
reversed,1700,merge_sort,668.67,15167
reversed,1700,ternary_string_quick_sort,30.56,17284
reversed,1700,lcp_string_merge_sort,2541.79,6741
reversed,1700,msd_radix_sort,315.37,4123
reversed,1700,msd_radix_sort_with_quick_switch,139.10,10351
reversed,1800,quick_sort,179.69,234440
reversed,1800,merge_sort,712.71,16033
reversed,1800,ternary_string_quick_sort,33.60,18381
reversed,1800,lcp_string_merge_sort,2631.87,7103
reversed,1800,msd_radix_sort,312.02,4368
reversed,1800,msd_radix_sort_with_quick_switch,148.48,10973
reversed,1900,quick_sort,178.85,237372
reversed,1900,merge_sort,737.09,16691
reversed,1900,ternary_string_quick_sort,35.11,19518
reversed,1900,lcp_string_merge_sort,2749.11,7267
reversed,1900,msd_radix_sort,328.43,4606
reversed,1900,msd_radix_sort_with_quick_switch,157.35,11570
reversed,2000,quick_sort,181.43,242525
reversed,2000,merge_sort,790.83,17396
reversed,2000,ternary_string_quick_sort,38.05,20670
reversed,2000,lcp_string_merge_sort,2870.92,7648
reversed,2000,msd_radix_sort,350.64,4850
reversed,2000,msd_radix_sort_with_quick_switch,171.20,12212
reversed,2100,quick_sort,195.22,258779
reversed,2100,merge_sort,821.29,18357
reversed,2100,ternary_string_quick_sort,39.29,21824
reversed,2100,lcp_string_merge_sort,3024.26,8008
reversed,2100,msd_radix_sort,364.14,5078
reversed,2100,msd_radix_sort_with_quick_switch,173.38,12795
reversed,2200,quick_sort,205.39,273725
reversed,2200,merge_sort,869.08,19700
reversed,2200,ternary_string_quick_sort,41.31,22942
reversed,2200,lcp_string_merge_sort,3202.91,8552
reversed,2200,msd_radix_sort,370.22,5322
reversed,2200,msd_radix_sort_with_quick_switch,181.53,13382
reversed,2300,quick_sort,217.12,293811
reversed,2300,merge_sort,919.57,20743
reversed,2300,ternary_string_quick_sort,43.12,24058
reversed,2300,lcp_string_merge_sort,3469.08,8912
reversed,2300,msd_radix_sort,405.07,5566
reversed,2300,msd_radix_sort_with_quick_switch,204.82,14002
reversed,2400,quick_sort,247.07,323660
reversed,2400,merge_sort,974.70,22134
reversed,2400,ternary_string_quick_sort,46.88,25535
reversed,2400,lcp_string_merge_sort,3586.90,9561
reversed,2400,msd_radix_sort,430.54,5810
reversed,2400,msd_radix_sort_with_quick_switch,201.27,14626
reversed,2500,quick_sort,260.91,343672
reversed,2500,merge_sort,1027.86,23052
reversed,2500,ternary_string_quick_sort,48.55,26539
reversed,2500,lcp_string_merge_sort,3785.32,9902
reversed,2500,msd_radix_sort,448.30,6051
reversed,2500,msd_radix_sort_with_quick_switch,216.09,15217
reversed,2600,quick_sort,277.68,367382
reversed,2600,merge_sort,1067.77,24109
reversed,2600,ternary_string_quick_sort,51.09,27760
reversed,2600,lcp_string_merge_sort,3918.36,10291
reversed,2600,msd_radix_sort,464.15,6298
reversed,2600,msd_radix_sort_with_quick_switch,223.61,15819
reversed,2700,quick_sort,297.10,388463
reversed,2700,merge_sort,1106.06,25130
reversed,2700,ternary_string_quick_sort,53.08,28829
reversed,2700,lcp_string_merge_sort,4080.46,10713
reversed,2700,msd_radix_sort,489.96,6547
reversed,2700,msd_radix_sort_with_quick_switch,235.17,16467
reversed,2800,quick_sort,312.17,410198
reversed,2800,merge_sort,1174.71,26270
reversed,2800,ternary_string_quick_sort,57.22,30069
reversed,2800,lcp_string_merge_sort,4200.82,11179
reversed,2800,msd_radix_sort,510.21,6797
reversed,2800,msd_radix_sort_with_quick_switch,236.82,17055
reversed,2900,quick_sort,327.19,430232
reversed,2900,merge_sort,1238.57,27266
reversed,2900,ternary_string_quick_sort,55.81,31398
reversed,2900,lcp_string_merge_sort,4352.30,11572
reversed,2900,msd_radix_sort,520.86,7043
reversed,2900,msd_radix_sort_with_quick_switch,253.41,17668
reversed,3000,quick_sort,336.88,446076
reversed,3000,merge_sort,1291.29,28191
reversed,3000,ternary_string_quick_sort,58.34,32664
reversed,3000,lcp_string_merge_sort,4532.91,11975
reversed,3000,msd_radix_sort,536.06,7284
reversed,3000,msd_radix_sort_with_quick_switch,261.45,18320
nearly_sorted,100,quick_sort,12.75,15116
nearly_sorted,100,merge_sort,19.85,689
nearly_sorted,100,ternary_string_quick_sort,1.57,648
nearly_sorted,100,lcp_string_merge_sort,87.44,337
nearly_sorted,100,msd_radix_sort,15.13,228
nearly_sorted,100,msd_radix_sort_with_quick_switch,7.03,545
nearly_sorted,200,quick_sort,24.44,29274
nearly_sorted,200,merge_sort,45.89,1634
nearly_sorted,200,ternary_string_quick_sort,3.08,1541
nearly_sorted,200,lcp_string_merge_sort,195.43,745
nearly_sorted,200,msd_radix_sort,29.38,454
nearly_sorted,200,msd_radix_sort_with_quick_switch,13.81,1100
nearly_sorted,300,quick_sort,36.12,42690
nearly_sorted,300,merge_sort,74.70,2602
nearly_sorted,300,ternary_string_quick_sort,4.98,2460
nearly_sorted,300,lcp_string_merge_sort,330.80,1131
nearly_sorted,300,msd_radix_sort,43.68,676
nearly_sorted,300,msd_radix_sort_with_quick_switch,20.66,1642
nearly_sorted,400,quick_sort,47.93,56059
nearly_sorted,400,merge_sort,108.13,3739
nearly_sorted,400,ternary_string_quick_sort,6.40,3357
nearly_sorted,400,lcp_string_merge_sort,457.70,1571
nearly_sorted,400,msd_radix_sort,57.09,897
nearly_sorted,400,msd_radix_sort_with_quick_switch,28.05,2204
nearly_sorted,500,quick_sort,63.94,75032
nearly_sorted,500,merge_sort,142.94,4875
nearly_sorted,500,ternary_string_quick_sort,8.87,4495
nearly_sorted,500,lcp_string_merge_sort,596.65,2013
nearly_sorted,500,msd_radix_sort,72.34,1132
nearly_sorted,500,msd_radix_sort_with_quick_switch,35.85,2793
nearly_sorted,600,quick_sort,73.57,85307
nearly_sorted,600,merge_sort,177.34,5907
nearly_sorted,600,ternary_string_quick_sort,11.15,5330
nearly_sorted,600,lcp_string_merge_sort,736.99,2347
nearly_sorted,600,msd_radix_sort,88.21,1377
nearly_sorted,600,msd_radix_sort_with_quick_switch,43.55,3375
nearly_sorted,700,quick_sort,88.67,101036
nearly_sorted,700,merge_sort,222.33,7166
nearly_sorted,700,ternary_string_quick_sort,12.78,6260
nearly_sorted,700,lcp_string_merge_sort,881.70,2859
nearly_sorted,700,msd_radix_sort,107.28,1633
nearly_sorted,700,msd_radix_sort_with_quick_switch,53.12,4050
nearly_sorted,800,quick_sort,99.98,114891
nearly_sorted,800,merge_sort,258.67,8480
nearly_sorted,800,ternary_string_quick_sort,16.70,7454
nearly_sorted,800,lcp_string_merge_sort,1031.47,3385
nearly_sorted,800,msd_radix_sort,123.50,1865
nearly_sorted,800,msd_radix_sort_with_quick_switch,62.21,4618
nearly_sorted,900,quick_sort,115.51,131262
nearly_sorted,900,merge_sort,300.10,9928
nearly_sorted,900,ternary_string_quick_sort,18.32,8602
nearly_sorted,900,lcp_string_merge_sort,1169.63,3909
nearly_sorted,900,msd_radix_sort,140.82,2114
nearly_sorted,900,msd_radix_sort_with_quick_switch,70.38,5241
nearly_sorted,1000,quick_sort,130.91,148246
nearly_sorted,1000,merge_sort,353.31,11250
nearly_sorted,1000,ternary_string_quick_sort,20.74,9829
nearly_sorted,1000,lcp_string_merge_sort,1310.99,4402
nearly_sorted,1000,msd_radix_sort,159.11,2353
nearly_sorted,1000,msd_radix_sort_with_quick_switch,78.18,5854
nearly_sorted,1100,quick_sort,146.78,165134
nearly_sorted,1100,merge_sort,401.47,12650
nearly_sorted,1100,ternary_string_quick_sort,22.91,10927
nearly_sorted,1100,lcp_string_merge_sort,1458.42,4997
nearly_sorted,1100,msd_radix_sort,176.96,2605
nearly_sorted,1100,msd_radix_sort_with_quick_switch,86.47,6505
nearly_sorted,1200,quick_sort,158.89,176576
nearly_sorted,1200,merge_sort,435.77,13722
nearly_sorted,1200,ternary_string_quick_sort,24.86,11655
nearly_sorted,1200,lcp_string_merge_sort,1612.73,5368
nearly_sorted,1200,msd_radix_sort,197.76,2856
nearly_sorted,1200,msd_radix_sort_with_quick_switch,96.66,7151
nearly_sorted,1300,quick_sort,174.18,189973
nearly_sorted,1300,merge_sort,489.14,14950
nearly_sorted,1300,ternary_string_quick_sort,29.62,13550
nearly_sorted,1300,lcp_string_merge_sort,1778.89,5876
nearly_sorted,1300,msd_radix_sort,212.73,3104
nearly_sorted,1300,msd_radix_sort_with_quick_switch,104.12,7787
nearly_sorted,1400,quick_sort,186.28,202810
nearly_sorted,1400,merge_sort,538.80,16308
nearly_sorted,1400,ternary_string_quick_sort,31.77,13927
nearly_sorted,1400,lcp_string_merge_sort,1920.87,6323
nearly_sorted,1400,msd_radix_sort,230.74,3330
nearly_sorted,1400,msd_radix_sort_with_quick_switch,111.69,8357
nearly_sorted,1500,quick_sort,199.73,222129
nearly_sorted,1500,merge_sort,586.46,17708
nearly_sorted,1500,ternary_string_quick_sort,34.35,15251
nearly_sorted,1500,lcp_string_merge_sort,2087.51,6904
nearly_sorted,1500,msd_radix_sort,248.72,3571
nearly_sorted,1500,msd_radix_sort_with_quick_switch,122.62,8988
nearly_sorted,1600,quick_sort,218.85,238000
nearly_sorted,1600,merge_sort,629.27,19182
nearly_sorted,1600,ternary_string_quick_sort,36.08,16566
nearly_sorted,1600,lcp_string_merge_sort,2248.59,7578
nearly_sorted,1600,msd_radix_sort,270.38,3825
nearly_sorted,1600,msd_radix_sort_with_quick_switch,130.50,9692
nearly_sorted,1700,quick_sort,232.95,254143
nearly_sorted,1700,merge_sort,654.73,20508
nearly_sorted,1700,ternary_string_quick_sort,38.42,17837
nearly_sorted,1700,lcp_string_merge_sort,2400.58,8058
nearly_sorted,1700,msd_radix_sort,285.83,4079
nearly_sorted,1700,msd_radix_sort_with_quick_switch,144.32,10362
nearly_sorted,1800,quick_sort,240.08,261242
nearly_sorted,1800,merge_sort,718.58,22312
nearly_sorted,1800,ternary_string_quick_sort,41.05,19091
nearly_sorted,1800,lcp_string_merge_sort,2539.87,8752
nearly_sorted,1800,msd_radix_sort,312.37,4330
nearly_sorted,1800,msd_radix_sort_with_quick_switch,147.02,10986
nearly_sorted,1900,quick_sort,253.65,274685
nearly_sorted,1900,merge_sort,757.95,23849
nearly_sorted,1900,ternary_string_quick_sort,44.48,20007
nearly_sorted,1900,lcp_string_merge_sort,2869.13,9265
nearly_sorted,1900,msd_radix_sort,321.64,4563
nearly_sorted,1900,msd_radix_sort_with_quick_switch,161.82,11625
nearly_sorted,2000,quick_sort,280.34,295691
nearly_sorted,2000,merge_sort,821.92,25416
nearly_sorted,2000,ternary_string_quick_sort,45.02,21788
nearly_sorted,2000,lcp_string_merge_sort,3100.62,10000
nearly_sorted,2000,msd_radix_sort,345.52,4814
nearly_sorted,2000,msd_radix_sort_with_quick_switch,170.06,12318
nearly_sorted,2100,quick_sort,294.11,311506
nearly_sorted,2100,merge_sort,866.72,26962
nearly_sorted,2100,ternary_string_quick_sort,47.34,22394
nearly_sorted,2100,lcp_string_merge_sort,3164.04,10528
nearly_sorted,2100,msd_radix_sort,356.77,5062
nearly_sorted,2100,msd_radix_sort_with_quick_switch,183.69,12978
nearly_sorted,2200,quick_sort,316.86,332620
nearly_sorted,2200,merge_sort,920.13,28144
nearly_sorted,2200,ternary_string_quick_sort,56.55,27624
nearly_sorted,2200,lcp_string_merge_sort,3323.04,11007
nearly_sorted,2200,msd_radix_sort,378.66,5329
nearly_sorted,2200,msd_radix_sort_with_quick_switch,192.31,13671
nearly_sorted,2300,quick_sort,321.12,345660
nearly_sorted,2300,merge_sort,980.13,29475
nearly_sorted,2300,ternary_string_quick_sort,53.73,24547
nearly_sorted,2300,lcp_string_merge_sort,3445.50,11463
nearly_sorted,2300,msd_radix_sort,400.37,5579
nearly_sorted,2300,msd_radix_sort_with_quick_switch,206.43,14355
nearly_sorted,2400,quick_sort,348.02,359029
nearly_sorted,2400,merge_sort,1008.66,30499
nearly_sorted,2400,ternary_string_quick_sort,58.27,25702
nearly_sorted,2400,lcp_string_merge_sort,3583.62,11788
nearly_sorted,2400,msd_radix_sort,425.43,5833
nearly_sorted,2400,msd_radix_sort_with_quick_switch,207.28,14983
nearly_sorted,2500,quick_sort,353.91,374113
nearly_sorted,2500,merge_sort,1048.24,32344
nearly_sorted,2500,ternary_string_quick_sort,62.84,27313
nearly_sorted,2500,lcp_string_merge_sort,3763.15,12634
nearly_sorted,2500,msd_radix_sort,436.32,6089
nearly_sorted,2500,msd_radix_sort_with_quick_switch,213.54,15667
nearly_sorted,2600,quick_sort,367.47,389779
nearly_sorted,2600,merge_sort,1099.18,33393
nearly_sorted,2600,ternary_string_quick_sort,66.70,28323
nearly_sorted,2600,lcp_string_merge_sort,3939.53,12979
nearly_sorted,2600,msd_radix_sort,467.86,6332
nearly_sorted,2600,msd_radix_sort_with_quick_switch,227.26,16299
nearly_sorted,2700,quick_sort,377.72,394262
nearly_sorted,2700,merge_sort,1149.77,34963
nearly_sorted,2700,ternary_string_quick_sort,70.14,30047
nearly_sorted,2700,lcp_string_merge_sort,4064.88,13684
nearly_sorted,2700,msd_radix_sort,470.98,6578
nearly_sorted,2700,msd_radix_sort_with_quick_switch,235.06,17004
nearly_sorted,2800,quick_sort,393.74,422322
nearly_sorted,2800,merge_sort,1202.57,36130
nearly_sorted,2800,ternary_string_quick_sort,74.67,30973
nearly_sorted,2800,lcp_string_merge_sort,4235.08,14068
nearly_sorted,2800,msd_radix_sort,485.33,6830
nearly_sorted,2800,msd_radix_sort_with_quick_switch,245.42,17647
nearly_sorted,2900,quick_sort,400.13,441541
nearly_sorted,2900,merge_sort,1267.53,37541
nearly_sorted,2900,ternary_string_quick_sort,78.77,32471
nearly_sorted,2900,lcp_string_merge_sort,4456.71,14651
nearly_sorted,2900,msd_radix_sort,512.77,7074
nearly_sorted,2900,msd_radix_sort_with_quick_switch,253.92,18383
nearly_sorted,3000,quick_sort,353.85,450745
nearly_sorted,3000,merge_sort,1286.97,39094
nearly_sorted,3000,ternary_string_quick_sort,80.02,33985
nearly_sorted,3000,lcp_string_merge_sort,4483.08,15439
nearly_sorted,3000,msd_radix_sort,476.57,7341
nearly_sorted,3000,msd_radix_sort_with_quick_switch,250.47,19186
common_prefix,100,quick_sort,15.10,19106
common_prefix,100,merge_sort,27.87,8027
common_prefix,100,ternary_string_quick_sort,3.32,2453
common_prefix,100,lcp_string_merge_sort,91.84,1967
common_prefix,100,msd_radix_sort,41.84,1712
common_prefix,100,msd_radix_sort_with_quick_switch,30.46,1984
common_prefix,200,quick_sort,34.82,48116
common_prefix,200,merge_sort,57.45,19423
common_prefix,200,ternary_string_quick_sort,6.53,5124
common_prefix,200,lcp_string_merge_sort,203.82,4151
common_prefix,200,msd_radix_sort,79.82,3460
common_prefix,200,msd_radix_sort_with_quick_switch,57.75,4217
common_prefix,300,quick_sort,52.63,70465
common_prefix,300,merge_sort,103.84,32202
common_prefix,300,ternary_string_quick_sort,10.62,7856
